weight_profile,intervention,decision_score,winner
Balanced,Document-readiness checklist,72.8,True
Balanced,Contextual data-use explainer,65.0,False
Balanced,Assisted recovery for failed submissions,40.5,False
Growth first,Document-readiness checklist,66.8,True
Growth first,Contextual data-use explainer,49.6,False
Growth first,Assisted recovery for failed submissions,59.0,False
Operations first,Document-readiness checklist,81.5,True
Operations first,Contextual data-use explainer,75.6,False
Operations first,Assisted recovery for failed submissions,28.0,False
Speed first,Document-readiness checklist,74.6,False
Speed first,Contextual data-use explainer,77.8,True
Speed first,Assisted recovery for failed submissions,25.6,False
Evidence first,Document-readiness checklist,70.1,True
Evidence first,Contextual data-use explainer,62.1,False
Evidence first,Assisted recovery for failed submissions,42.4,False
